epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,9952.06,0.63894,1.33369,0.4174,0.86923,0.39211,0.14833,0.15324,0.07105,0.42514,0.15311,0.15329,0.05363,2.37611,3.76511,3.13326,1.95382,0.0004324,0.0004324,0.0004324
88,10083.5,0.62152,1.3202,0.41259,0.87333,0.44845,0.15311,0.1616,0.07891,0.46947,0.16029,0.16041,0.0569,2.56119,3.90264,3.30584,1.93904,0.0004258,0.0004258,0.0004258
89,10189.2,0.60432,1.255,0.43958,0.85964,0.44277,0.14833,0.15797,0.07746,0.43639,0.15789,0.16341,0.05779,2.42581,3.93043,3.16264,1.95319,0.0004192,0.0004192,0.0004192
90,10291.9,0.593,1.26561,0.39123,0.87037,0.46475,0.17943,0.20596,0.10393,0.44737,0.16986,0.19456,0.07591,2.46534,3.9006,3.06781,1.88846,0.0004126,0.0004126,0.0004126
91,10416.1,0.62411,1.31651,0.40971,0.87724,0.42926,0.17464,0.18876,0.09113,0.40463,0.16746,0.18316,0.07304,2.55036,3.70894,3.22789,2.02001,0.000406,0.000406,0.000406
92,10538.8,0.59633,1.23383,0.38476,0.86649,0.41363,0.1866,0.19083,0.087,0.4135,0.17943,0.17989,0.06595,2.44317,3.85799,3.36202,1.89744,0.0003994,0.0003994,0.0003994
93,10656.9,0.59252,1.2703,0.39913,0.86833,0.36901,0.15311,0.17767,0.09193,0.37794,0.1555,0.18011,0.06883,2.4653,3.82856,3.40445,1.89886,0.0003928,0.0003928,0.0003928
94,10752.3,0.5818,1.25399,0.38566,0.86065,0.37192,0.153,0.17522,0.07678,0.3661,0.1506,0.17279,0.06091,2.51454,3.86611,3.58174,2.02294,0.0003862,0.0003862,0.0003862
95,10862.9,0.58851,1.25837,0.39107,0.87314,0.39528,0.14833,0.16429,0.07647,0.40775,0.14593,0.16412,0.05872,2.63083,3.90493,3.43547,2.00941,0.0003796,0.0003796,0.0003796
96,10970.9,0.57277,1.21648,0.38766,0.86623,0.43159,0.15986,0.19969,0.09597,0.43921,0.16986,0.20555,0.07674,2.54725,3.75347,3.18097,2.01921,0.000373,0.000373,0.000373
97,11075.5,0.60553,1.25114,0.3905,0.87174,0.43806,0.1866,0.20156,0.09874,0.44367,0.189,0.19915,0.08072,2.44485,3.98167,3.15894,1.94353,0.0003664,0.0003664,0.0003664
98,11181.4,0.5852,1.28207,0.38763,0.86727,0.4316,0.17703,0.18845,0.09201,0.47691,0.17668,0.18493,0.07283,2.65626,3.95417,3.5539,2.06121,0.0003598,0.0003598,0.0003598
